1,43880455,43880121,2006/05/07,470.46
2,43879990,43880837,2022/10/02,873.89
3,43879980,43881499,2009/04/04,868.94
4,43880046,43880900,2012/07/24,847.44
5,43881447,43881183,2004/05/15,303.55
6,43880497,43880909,2014/04/22,362.71
7,43880706,43880298,2022/04/24,796.4
8,43879988,43881119,2001/12/17,701.6
9,43880062,43881094,2001/11/06,646.3
10,43879653,43881317,2021/02/07,272.81
11,43879776,43881512,2003/01/09,777.99
12,43881335,43880816,2009/11/22,627.25
13,43879899,43881295,2003/07/18,433.12
14,43880991,43880440,2018/09/25,451.45
15,43880527,43880471,2003/12/31,574.03
16,43879993,43880042,2018/10/23,720.34
17,43880769,43880159,2011/08/24,157.31
18,43880064,43881364,2016/12/16,355.57
19,43879632,43881285,2014/05/08,385.58
20,43880694,43879935,2018/12/17,487.36
21,43879709,43880803,2019/06/18,113.71
22,43880707,43881001,2009/01/07,331.67
23,43880171,43880499,2007/06/05,303.88
24,43880291,43879878,2009/06/06,952.5
25,43881083,43880439,2015/02/26,392.83
26,43879618,43881376,2006/06/18,208.67
27,43879559,43880384,2000/05/18,154.17
28,43881005,43879669,2008/08/06,4.24
29,43881476,43879863,2009/05/16,118.54
30,43879594,43879838,2019/05/24,104.07
31,43880983,43879654,2004/09/27,225.47
32,43880278,43879855,2005/07/12,393.42
33,43880825,43881227,2002/02/01,254.32
34,43880939,43880780,2001/07/23,11.89
35,43880882,43880199,2010/07/10,686.85
36,43880731,43880538,2003/09/17,730.13
37,43880397,43881390,2021/05/01,358.83
38,43880956,43880268,2016/05/22,449.71
39,43880362,43880125,2020/03/10,846.65
40,43880977,43880101,2016/02/29,274.63
41,43880764,43880966,2015/05/02,891.13
42,43881069,43881261,2004/11/29,526.09
43,43881214,43880869,2014/02/18,643.95
44,43880592,43880020,2002/06/14,878.17
45,43880902,43881127,2017/09/21,399.37
46,43879710,43880605,2003/04/20,276.6
47,43881224,43879566,2014/04/12,956.3
48,43879956,43880362,2003/06/01,71.91
49,43880978,43880696,2016/08/25,728.39
50,43879573,43879859,2022/05/29,83.26
51,43880188,43880225,2009/01/27,723.25
52,43880696,43880741,2005/03/27,597.05
53,43881421,43881168,2009/11/23,617.89
54,43879989,43879587,2012/05/02,580.55
55,43880989,43879604,2010/02/20,878.89
56,43879836,43880261,2013/10/04,522.42
57,43881047,43880468,2017/04/12,669.1
58,43879993,43880848,2011/03/17,709.86
59,43880262,43880764,2019/03/24,690.71
60,43879893,43879903,2009/06/10,873.17
61,43879538,43880525,2009/02/10,761.99
62,43879556,43880172,2021/12/10,610.92
63,43880385,43880495,2014/08/27,285.82
64,43879732,43880842,2010/11/21,190.12
65,43880606,43880224,2005/09/18,312.11
66,43880278,43880302,2011/05/23,721.11
67,43880613,43879525,2006/02/05,270.08
68,43879607,43879873,2012/06/05,215.72
69,43879677,43881469,2009/03/10,114.07
70,43880616,43879769,2003/09/13,641.0
71,43881409,43881243,2010/09/28,47.29
72,43880130,43880541,2009/02/16,451.05
73,43879534,43880418,2002/05/13,761.91
74,43879550,43879747,2010/03/19,50.93
75,43880854,43880128,2002/05/09,552.92
76,43880572,43880594,2021/05/27,920.06
77,43880289,43880908,2012/04/24,867.06
78,43879655,43881076,2001/10/09,184.26
79,43879649,43880852,2007/11/18,951.85
80,43881354,43881252,2021/12/06,602.81
81,43881046,43880428,2012/01/09,327.58
82,43880828,43879563,2002/01/18,877.33
83,43880070,43880804,2018/01/31,859.31
84,43880104,43880748,2003/04/02,142.42
85,43881226,43880288,2007/05/04,77.61
86,43881069,43880135,2007/07/21,71.13
87,43880413,43881350,2007/04/10,868.31
88,43881258,43880628,2018/04/09,282.14
89,43880800,43881018,2016/07/11,212.81
90,43880492,43881197,2001/05/13,673.72
91,43881065,43880494,2007/02/01,716.81
92,43880313,43879839,2017/07/22,916.16
93,43879683,43881171,2021/12/17,304.54
94,43880056,43880009,2000/06/14,99.58
95,43881423,43879823,2006/12/03,837.32
96,43881117,43879557,2011/09/07,57.54
97,43880561,43880336,2012/01/18,920.49
98,43881269,43880126,2011/11/23,156.48
